Episode 151: 1000 time steps, total rewards -102.00
Episode 152: 1000 time steps, total rewards -97.00
Episode 153: 1000 time steps, total rewards -97.00
Episode 154: 1000 time steps, total rewards -100.00
Episode 155: 1000 time steps, total rewards -100.00
Episode 156: 1000 time steps, total rewards -100.00
Episode 157: 1000 time steps, total rewards -102.00
Episode 158: 1000 time steps, total rewards -97.00
Episode 159: 1000 time steps, total rewards -100.00
Episode 160: 1000 time steps, total rewards -102.00
Episode 161: 1000 time steps, total rewards -104.00
Episode 162: 1000 time steps, total rewards -97.00
Episode 163: 1000 time steps, total rewards -97.00
Episode 164: 1000 time steps, total rewards -102.00
Episode 165: 1000 time steps, total rewards -102.00
Episode 166: 1000 time steps, total rewards -100.00
Episode 167: 1000 time steps, total rewards -97.00
Episode 168: 1000 time steps, total rewards -94.00
Episode 169: 1000 time steps, total rewards -100.00
Episode 170: 1000 time steps, total rewards -100.00
Episode 171: 1000 time steps, total rewards -99.00
Episode 172: 1000 time steps, total rewards -97.00
Episode 173: 1000 time steps, total rewards -94.00
Episode 174: 1000 time steps, total rewards -100.00
Episode 175: 1000 time steps, total rewards -97.00
Episode 176: 1000 time steps, total rewards -97.00
Episode 177: 1000 time steps, total rewards -102.00
Episode 178: 1000 time steps, total rewards -100.00
Episode 179: 1000 time steps, total rewards -102.00
Episode 180: 1000 time steps, total rewards -96.00
Episode 181: 1000 time steps, total rewards -94.00
Episode 182: 1000 time steps, total rewards -97.00
Episode 183: 1000 time steps, total rewards -102.00
Episode 184: 1000 time steps, total rewards -96.00
Episode 185: 1000 time steps, total rewards -99.00
Episode 186: 1000 time steps, total rewards -102.00
Episode 187: 1000 time steps, total rewards -100.00
Episode 188: 1000 time steps, total rewards -99.00
Episode 189: 1000 time steps, total rewards -97.00
Episode 190: 1000 time steps, total rewards -100.00
Episode 191: 1000 time steps, total rewards -97.00
Episode 192: 1000 time steps, total rewards -99.00
Episode 193: 1000 time steps, total rewards -102.00
Episode 194: 1000 time steps, total rewards -100.00
Episode 195: 1000 time steps, total rewards -99.00
Episode 196: 1000 time steps, total rewards -100.00
Episode 197: 1000 time steps, total rewards -101.00
Episode 198: 1000 time steps, total rewards -97.00
Episode 199: 1000 time steps, total rewards -102.00
Episode 200: 1000 time steps, total rewards -97.00
Episode 201: 1000 time steps, total rewards -97.00
